id,popularity,vote_count,genre_ids,title,vote_average,datetime
468816,147.925,37,"[28, 18, 36]",The Rising Hawk,6.1,2019-10-10
317442,147.312,707,"[28, 16, 10749]",The Last: Naruto the Movie,7.8,2014-12-06
537915,146.096,4943,"[18, 10749]",After,7.1,2019-04-11
474350,145.918,4829,"[27, 14]",It Chapter Two,6.9,2019-09-04
526973,142.511,19,"[80, 53]",Target Number One,6.1,2020-07-10
509967,141.734,2541,"[28, 53]",6 Underground,6.3,2019-12-13
347201,140.726,573,"[28, 16, 35]",Boruto: Naruto the Movie,7.8,2015-08-07
679796,140.237,11,"[28, 10752]",Enemy Lines,6.2,2020-04-24
420809,139.655,3650,"[12, 14, 10751]",Maleficent: Mistress of Evil,7.3,2019-10-16
667520,139.496,482,"[16, 18, 14, 10749]",A Whisker Away,8.1,2020-06-18
181812,139.114,5698,"[28, 12, 878]",Star Wars: The Rise of Skywalker,6.6,2019-12-18
721138,138.829,4,[28],Invincible,5.8,2020-07-02
420817,136.89600000000002,6956,"[12, 14, 10749, 10751]",Aladdin,7.1,2019-05-22
631939,135.22299999999998,19,"[28, 12, 36]",Legionnaire's Trail,5.5,2020-05-08
532067,134.145,162,"[12, 16, 35, 14]",KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,8.6,2019-08-30
703155,134.13299999999998,42,[18],El encanto,6.4,2020-07-30
404368,134.012,4942,"[12, 16, 35, 10751]",Ralph Breaks the Internet,7.2,2018-11-20
448119,133.998,2077,"[12, 35, 14, 10751]",Dolittle,6.9,2020-01-01
399579,130.178,5723,"[28, 12, 878]",Alita: Battle Angel,7.1,2019-01-31
610201,130.144,20,"[27, 37]",The Pale Door,5.5,2020-08-21
481848,129.811,1856,"[12, 18, 10751]",The Call of the Wild,7.5,2020-02-19
443791,129.701,1585,"[28, 27, 878, 53]",Underwater,6.4,2020-01-08
687149,129.144,18,"[878, 53]",Toxic,7.4,2020-04-23
568160,129.003,611,"[12, 16, 18, 14, 10749]",Weathering with You,8.1,2019-07-19
453405,128.49,2921,"[28, 18, 878, 53]",Gemini Man,6.4,2019-10-02
284054,128.135,16069,"[28, 12, 14, 878]",Black Panther,7.4,2018-02-13
586334,127.38,5,[878],Sanctuary Population One,4.8,2019-12-27
333339,127.307,10167,"[12, 878]",Ready Player One,7.6,2018-03-28
447404,123.919,4272,"[28, 12, 14]",Pokémon Detective Pikachu,7.0,2019-05-03
689249,123.65899999999999,427,[99],Money Heist: The Phenomenon,7.7,2020-04-03
554022,122.831,34,"[28, 12, 18, 10752]",Torpedo: U-235,6.5,2019-10-23
412117,122.65100000000001,1785,"[12, 16, 35, 10751]",The Secret Life of Pets 2,7.0,2019-05-24
431693,122.075,1646,"[28, 12, 16, 35]",Spies in Disguise,7.8,2019-12-04
400160,120.551,28,"[12, 16, 35, 14, 10751]",The SpongeBob Movie: Sponge on the Run,6.6,2020-08-14
454640,120.19200000000001,852,"[12, 16, 35, 10751]",The Angry Birds Movie 2,7.1,2019-08-02
529203,119.698,0,"[12, 16, 14, 10751]",The Croods: A New Age,0.0,2020-11-25
299537,117.705,10134,"[28, 12, 878]",Captain Marvel,7.0,2019-03-06
581600,116.96,1221,"[28, 35, 53]",Spenser Confidential,6.6,2020-03-06
338967,116.58,2929,"[28, 35, 27]",Zombieland: Double Tap,7.0,2019-10-09
592834,116.522,554,"[28, 35, 10751]",My Spy,7.1,2020-01-09
320288,116.26700000000001,3955,"[28, 12, 878]",Dark Phoenix,6.1,2019-06-05
675490,116.193,38,"[27, 53]",The Unfamiliar,6.2,2020-08-21
726664,115.602,57,"[16, 35]",Fearless,6.6,2020-08-14
559937,115.07600000000001,9,"[28, 80, 18]",S.W.A.T.,6.4,2019-12-29
647265,114.96700000000001,25,[35],The Binge,6.0,2020-08-28
546724,114.822,23,"[27, 53]",We Summon the Darkness,6.2,2020-09-17
339095,114.696,444,"[28, 80, 53]",The Last Days of American Crime,6.6,2020-06-05
691812,114.27799999999999,39,[53],Blood and Money,5.0,2020-05-15
597398,113.838,14,"[12, 16, 14]",Away,6.9,2019-11-15
461130,113.348,913,"[28, 80, 18, 878, 53]",Code 8,6.2,2019-12-06
644090,112.95200000000001,259,"[35, 10749]","Love, Guaranteed",6.6,2020-09-02
324857,112.76899999999999,8033,"[28, 12, 16, 35, 878]",Spider-Man: Into the Spider-Verse,8.4,2018-12-06
575094,112.73200000000001,111,"[12, 14]",Abigail,5.8,2019-08-22
706503,112.215,374,"[28, 80, 53]",Lost Bullet,6.7,2020-06-19
618344,110.445,766,"[28, 12, 16, 14, 878]",Justice League Dark: Apokolips War,8.4,2020-05-05
737799,109.33,2,[18],Maquis,4.5,2020-08-28
550412,109.039,7,[27],The Legend of Halloween Jack,6.4,2020-07-21
373571,108.579,2973,"[28, 878]",Godzilla: King of the Monsters,6.4,2019-05-29
700995,108.275,2,"[28, 878, 53]","Devoto, la invasión silenciosa",4.0,2020-05-07
351286,107.809,8135,"[28, 12, 878]",Jurassic World: Fallen Kingdom,6.6,2018-06-06
303857,107.68299999999999,963,"[28, 16, 878]",Dragon Ball Z: Resurrection 'F',6.9,2015-04-18
287947,107.302,5595,"[28, 35, 14]",Shazam!,7.0,2019-03-29
458897,106.603,1591,"[28, 12, 35]",Charlie's Angels,6.7,2019-11-14
49519,105.404,4840,"[28, 12, 16, 35, 14, 10751]",The Croods,6.8,2013-03-20
372058,105.069,6392,"[16, 18, 10749]",Your Name.,8.6,2016-08-26
611914,105.01,270,"[28, 80, 18, 53]",The Courier,6.6,2019-11-22
723072,104.699,180,[27],Host,6.9,2020-07-30
736509,103.65,4,"[27, 878, 53]",Intersect,4.3,2020-02-12
428045,103.53399999999999,156,"[12, 14]",Journey to China: The Mystery of Iron Mask,6.3,2019-08-16
699046,103.369,9,"[28, 80, 9648, 53]",A Perfect Plan,5.1,2020-05-01
627879,103.226,82,"[28, 10752]",Rogue Warfare,5.7,2019-10-04
500840,103.012,519,"[18, 53]",I'm Thinking of Ending Things,6.6,2020-08-28
